"Data de referência dos dados: 01 de outubro de 2020","","","","","","","","","","","","","","","","","","","",""
"Empreendimento","CEG","UF","Fonte","Fase","Origem","Tipo","Tipo de Atuação","Combustível Final","Entrada em Operação","Potência Outorgada (kW)","Potência Fiscalizada (kW)","Garantia Fisica (kW)","Geracao Qualificada","Latitude (GMS)","Longitude (GMS)","Início Vigência","Fim Vigência","Proprietário / Regime de Exploração","Cod e Descrição Sub-Bacia","Município (s)"
"Lar do Sol 5 (Antiga Leo Silveira 5)","UFVRSMG037834-8","MG","UFV","Construção não iniciada","Solar","Radiação solar","Autorização","Radiação solar","-","49,500.00","0","0","Não","17° 21' 38,010"" S","44° 41' 3,557"" W","12-04-2019","12-04-2054","100% para USINA DE ENERGIA FOTOVOLTAICA LAR DO SOL II S.A. (PIE)","","Várzea da Palma - MG"
"Lar do Sol 8 (Antiga Leo Silveira 8)","UFVRSMG037837-2","MG","UFV","Construção não iniciada","Solar","Radiação solar","Autorização","Radiação solar","-","49,500.00","0","0","Não","17° 20' 53,510"" S","44° 40' 10,000"" W","12-04-2019","12-04-2054","100% para USINA DE ENERGIA FOTOVOLTAICA LAR DO SOL IV S.A. (PIE)","","Várzea da Palma - MG"
"Lar do Sol 9 (Antiga Leo Silveira 9)","UFVRSMG037838-0","MG","UFV","Construção não iniciada","Solar","Radiação solar","Autorização","Radiação solar","-","49,500.00","0","0","Não","17° 20' 9,520"" S","44° 40' 28,030"" W","12-04-2019","12-04-2054","100% para USINA DE ENERGIA FOTOVOLTAICA LAR DO SOL V S.A. (PIE)","","Várzea da Palma - MG"
"Lar Nina Arueira","UFVRSES040697-0","ES","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","04/06/2018","12.73","12.73","0","Não","20°50'40,142""S","41°6'26,838""W","","","100% para LAR NINA ARUEIRA (REG)","","Cachoeiro de Itapemirim - ES"
"Lar so Sol 7 (Antiga Leo Silveira 7)","UFVRSMG037836-4","MG","UFV","Construção não iniciada","Solar","Radiação solar","Autorização","Radiação solar","-","49,500.00","0","0","Não","17° 21' 41,400"" S","44° 39' 30,160"" W","12-04-2019","12-04-2054","100% para USINA DE ENERGIA FOTOVOLTAICA LAR DO SOL IV S.A. (PIE)","","Várzea da Palma - MG"
"Laranja Doce","CGHPHSP001310-2","SP","CGH","Operação","Hídrica","Potencial hidráulico","Registro","Potencial hidráulico","01/01/1929","720.00","720","290","Não","-1","-1","","","100% para QUATIARA ENERGIA S.A. (REG)","","Martinópolis - SP"
"Laranjal do Jari","UTEPEAP001311-0","AP","UTE","Operação","Fóssil","Petróleo","Autorização","Óleo Diesel","01/06/1994","8,675.00","8675","0","Não","0° 49' 38,000"" S","52° 31' 35,000"" W","08-05-1995","08-05-2025","100% para COMPANHIA DE ELETRICIDADE DO AMAPÁ (SP)","","Laranjal do Jari - AP"
"Laranjeira do Espinho","CGHPHPE030127-2","PE","CGH","Operação","Hídrica","Potencial hidráulico","Registro","Potencial hidráulico","01/07/1965","104.00","104","0","Não","8°51'35""S","35°46'44""W","","","100% para Rogério Gondim da Rosa Oiticica (REG)","39 - Paraiba e outros","Maraial - PE, Colônia Leopoldina - AL"
"Laranjeiras","UTEAIPE030190-6","PE","UTE","Operação","Biomassa","Agroindustriais","Registro","Bagaço de Cana de Açúcar","01/01/2004","4,825.00","4825","0","Não","7°39'24""S","35°21'39""W","","","100% para Usivale Indústria e Comércio Ltda. (REG)","","Vicência - PE"
"Laranjeiras I","EOLCVBA032349-7","BA","EOL","Operação","Eólica","Cinética do vento","Autorização","Cinética do vento","13/04/2018","27,500.00","27500","0","Não","11°7'22,009""S","42°41'2,652""W","08-05-2015","08-05-2050","100% para Parque Eolico Laranjeiras I S.A (PIE)","","Xique-Xique - BA"
"Laranjeiras II","EOLCVBA032350-0","BA","EOL","Operação","Eólica","Cinética do vento","Autorização","Cinética do vento","13/04/2018","30,000.00","30000","0","Não","11°7'47,041""S","42°41'54,506""W","08-05-2015","08-05-2050","100% para Parque Eólico Laranjeiras II S.A (PIE)","","Xique-Xique - BA"
"Laranjeiras III","EOLCVBA033626-2","BA","EOL","Operação","Eólica","Cinética do vento","Autorização","Cinética do vento","24/04/2019","25,000.00","25000","12100","Não","11°2'7,421""S","42°37'55,601""W","03-07-2015","03-07-2050","100% para Parque Eólico Laranjeiras III S.A. (PIE)","","Gentio do Ouro - BA"
"Laranjeiras IX","EOLCVBA033627-0","BA","EOL","Operação","Eólica","Cinética do vento","Autorização","Cinética do vento","24/04/2019","25,000.00","25000","12200","Não","11°4'52,422""S","42°37'4,807""W","03-07-2015","03-07-2050","100% para Parque Eólico Laranjeiras IX S.A. (PIE)","","Gentio do Ouro - BA"
"Laranjeiras V","EOLCVBA032351-9","BA","EOL","Operação","Eólica","Cinética do vento","Autorização","Cinética do vento","13/04/2018","25,000.00","25000","0","Não","11°6'52,076""S","42°40'16,049""W","08-05-2015","08-05-2050","100% para Parque Eolico Laranjeiras V S.A. (PIE)","","Gentio do Ouro - BA"
"Las Brisas","UTEPESP029905-7","SP","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","07/10/2008","105.00","105","0","Não","23° 32' 51,000"" S","46° 38' 10,000"" W","","","100% para Las Brisas Incorporação SPE S.A. (REG)","","São Paulo - SP"
"Lasa","UTEAIES029107-2","ES","UTE","Operação","Biomassa","Agroindustriais","Autorização","Bagaço de Cana de Açúcar","01/06/1982","33,000.00","20700","7500","Não","19°20'26,19""S","40°0'37,69""W","10-08-2016","10-08-2051","100% para Linhares Agroindustrial S/A (PIE)","","Linhares - ES"
"Latasa Santa Cruz","UTEPERJ028425-4","RJ","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","01/02/2005","4,480.00","4480","0","Não","22°52'35,947""S","43°13'40,35""W","","","100% para Rexam Beverage Can South América S.A (REG)","","Rio de Janeiro - RJ"
"Laticínio Scala","UTEPEMG031168-5","MG","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","05/11/2011","1,600.00","1600","0","Não","19°51'55""S","47°26'24""W","","","100% para Scalon &amp Cerchi Ltda. (REG)","","Sacramento - MG"
"Laticínios Bela Vista","UTEPEGO033734-0","GO","UTE","Operação","Fóssil","Petróleo","Autorização","Óleo Diesel","","9,260.00","9260","0","Não","16°59'19,04""S","48°57'41,03""W","26-06-2015","26-06-2045","100% para Laticinios Bela Vista Ltda (APE)","","Bela Vista de Goiás - GO"
"Laticinios Bela Vista - Governador Valadares","UTEPEMG032957-6","MG","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","01/09/2014","2,240.00","2240","0","Não","18°51'46""S","41°48'22""W","","","100% para Laticinios Bela Vista Ltda (REG)","","Governador Valadares - MG"
"Laticinios Bela Vista - Maravilha","UTEPESC033714-5","SC","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","01/07/2011","3,360.00","3360","0","Não","26°46'43""S","53°12'7""W","","","100% para Laticinios Bela Vista Ltda (REG)","","Maravilha - SC"
"Laticínios Rezende","UTEPEES030992-3","ES","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","28/02/2011","347.00","347","0","Não","18°7'36,685""S","40°21'48,316""W","","","100% para Laticinios Rezende Ltda. (REG)","","Montanha - ES"
"Laticínios Tirolez","UTEPEMG031191-0","MG","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","22/05/2013","800.00","800","0","Não","18°59'56,05""S","45°57'55,94""W","","","Não Informado","","Tiros - MG"
"Laudecy Gomes Pinto","UFVRSPA045584-9","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","04/09/2019","1.00","1","0","N/I","3° 54' 20,819"" S","49° 53' 23,485"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Laudimilson Nunes Caldas","UFVRSPA045277-7","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","12/08/2019","1.00","1","0","N/I","3° 47' 53,052"" S","49° 46' 32,304"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Laura Caetano da Cruz","UFVRSPA040100-5","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","03/02/2018","1.00","1","0","N/I","2°13'47,208""S","52°46'33,564""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Laura Oliveira Barbosa","UFVRSPA038848-3","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","21/11/2017","1.00","1","0","N/I","1°54'12,78""S","53°4'23,16""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Lauriano Rodrigues Dos Santos","UFVRSPA040522-1","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","27/03/2018","1.00","1","0","N/I","2° 32' 33,396"" S","52° 56' 4,200"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Lauro Sebastiao Afonso Ferreira","UFVRSPA045967-4","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","01/10/2019","1.00","1","0","N/I","3° 45' 0,155"" S","49° 50' 17,038"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Lavanderia Alba","UTEPEMT030532-4","MT","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","16/05/2011","84.00","84","0","Não","15°26'56,004""S","55°56'20,4""W","","","100% para Lavanderia Alba Ltda (REG)","","Cuiabá - MT"
"Lavenit Lavanderia","UTEPERJ033724-2","RJ","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","02/01/2015","1,560.00","1560","0","Não","22°49'46,369""S","43°1'56,406""W","","","100% para LAVENIT LAVANDERIA LTDA - ME (REG)","","São Gonçalo - RJ"
"Lavinorte","UTEPEPR029936-7","PR","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","07/10/2008","728.00","728","0","Não","23°39'13,727""S","52°36'32,944""W","","","100% para Lavanderia e Tinturaria Lavinorte Ltda. (REG)","","Cianorte - PR"
"Lavras","CGHPHMG028105-0","MG","CGH","Operação","Hídrica","Potencial hidráulico","Registro","Potencial hidráulico","01/12/1975","1,200.00","1200","0","Não","-1","-1","","","100% para FOCUS GERAÇÃO DE ENERGIA LTDA. (REG)","","Barbacena - MG"
"Lavras 1","UFVRSCE037865-8","CE","UFV","Construção não iniciada","Solar","Radiação solar","Autorização","Radiação solar","-","27,000.00","0","6200","Não","3°47'32,55""S","38°55'5,57""W","24-08-2018","24-08-2053","100% para LAVRAS 1 SOLAR ENERGIAS RENOVÁVEIS S.A. (PIE)","","Caucaia - CE"
"Lavras 2","UFVRSCE037866-6","CE","UFV","Construção não iniciada","Solar","Radiação solar","Autorização","Radiação solar","-","27,000.00","0","6200","Não","3°47'42,42""S","38°55'5,57""W","24-08-2018","24-08-2053","100% para LAVRAS 2 SOLAR ENERGIAS RENOVÁVEIS S.A. (PIE)","","Caucaia - CE"
"Lavras 3","UFVRSCE037867-4","CE","UFV","Construção não iniciada","Solar","Radiação solar","Autorização","Radiação solar","-","27,000.00","0","6200","Não","3°47'52,29""S","38°55'5,57""W","27-08-2018","27-08-2053","100% para LAVRAS 3 SOLAR ENERGIAS RENOVÁVEIS S.A. (PIE)","","Caucaia - CE"
"Lavras 4","UFVRSCE037868-2","CE","UFV","Construção não iniciada","Solar","Radiação solar","Autorização","Radiação solar","-","27,000.00","0","6200","Não","3°48'2,16""S","38°55'5,57""W","27-08-2018","27-08-2053","100% para LAVRAS 4 SOLAR ENERGIAS RENOVÁVEIS S.A. (PIE)","","Caucaia - CE"
"Lavras 5","UFVRSCE037869-0","CE","UFV","Construção não iniciada","Solar","Radiação solar","Autorização","Radiação solar","-","27,000.00","0","6200","Não","3°48'12,02""S","38°55'5,56""W","24-08-2018","24-08-2053","100% para LAVRAS 5 SOLAR ENERGIAS RENOVÁVEIS S.A. (PIE)","","Caucaia - CE"
"Lavras 7","UFVRSCE037871-2","CE","UFV","Construção não iniciada","Solar","Radiação solar","Autorização","Radiação solar","-","20,000.00","0","0","Não","3° 48' 17,960"" S","38° 56' 15,010"" W","12-06-2020","12-06-2055","100% para LAVRAS 7 ENERGIAS RENOVÁVEIS S.A. (PIE)","","Caucaia - CE"
"Lavras 8","UFVRSCE037872-0","CE","UFV","Construção não iniciada","Solar","Radiação solar","Autorização","Radiação solar","-","20,000.00","0","0","Não","3° 47' 57,830"" S","38° 56' 8,300"" W","19-06-2020","19-06-2055","100% para Lavras 8 Energias Renováveis S.A. (PIE)","","Caucaia - CE"
"Lavrinha","CGHPHSP001317-0","SP","CGH","Operação","Hídrica","Potencial hidráulico","Registro","Potencial hidráulico","31/12/1947","332.50","332.5","0","Não","23°58'52""S","47°56'24""W","","","100% para CPFL CENTRAIS GERADORAS LTDA. (REG)","64 - Parana, Paranapanema, Amambai e outros","São Miguel Arcanjo - SP"
"Lavrinhas","PCHPHSP029114-5","SP","PCH","Operação","Hídrica","Potencial hidráulico","Autorização","Potencial hidráulico","03/09/2011","30,000.00","30000","21400","Não","-1","-1","07-04-2004","07-04-2034","100% para USINA PAULISTA LAVRINHAS DE ENERGIA S.A. (PIE)","","Lavrinhas - SP"
"Lazaro de Paiva Barboza Vieira","UFVRSPA039683-4","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","20/01/2018","1.00","1","0","N/I","1° 52' 24,312"" S","52° 38' 58,380"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Lazaro do Carmo Braga","UFVRSPA046139-3","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","17/10/2019","1.00","1","0","N/I","3° 47' 22,722"" S","49° 46' 29,831"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"LD Celulose","UTEFLMG040854-9","MG","UTE","Construção","Biomassa","Floresta","Autorização","Licor Negro","-","202,700.00","0","0","Não","18° 50' 13,350"" S","47° 55' 5,620"" W","02-07-2020","02-07-2055","100% para LD CELULOSE S.A. (PIE)","","Indianópolis - MG"
"LDC Bioenergia Lagoa da Prata (Antiga Louis Dreyfus Lagoa da Prata)","UTEAIMG029717-8","MG","UTE","Operação","Biomassa","Agroindustriais","Autorização","Bagaço de Cana de Açúcar","25/04/2009","85,000.00","85000","10800","Não","20°4'30""S","45°33'7""W","14-03-2008","14-03-2043","100% para BIOSEV S.A. (PIE)","","Lagoa da Prata - MG"
"LDC Bioenergia Leme (Antiga Coinbra - Cresciumal)","UTEAISP027059-8","SP","UTE","Operação","Biomassa","Agroindustriais","Autorização","Bagaço de Cana de Açúcar","01/05/1986","39,600.00","39600","10500","Não","22°10'19,776""S","47°20'15,432""W","04-11-2002","04-11-2032","100% para BIOSEV S.A. (PIE)","","Leme - SP"
"LDC Bioenergia Rio Brilhante (Antiga Louis Dreyfus Rio Brilhante)","UTEAIMS029718-6","MS","UTE","Operação","Biomassa","Agroindustriais","Autorização","Bagaço de Cana de Açúcar","02/04/2009","90,000.00","90000","23800","Não","21° 31' 4,440"" S","54° 42' 40,680"" W","14-03-2008","14-03-2043","100% para BIOSEV S.A. (PIE)","","Rio Brilhante - MS"
"Leandro Marques da Trindade","UFVRSPA039739-3","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","22/01/2018","1.00","1","0","N/I","1° 52' 16,644"" S","52° 38' 8,988"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"LEÃO AMERICANA","UTEPESP033910-5","SP","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","01/03/2002","937.60","937.6","0","Não","22°45'20,401""S","47°19'30,305""W","","","100% para Leão Alimentos e Bebidas Ltda (REG)","","Americana - SP"
"LEÃO LINHARES","UTEPEES033279-8","ES","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","01/06/2006","1,660.80","1660.8","0","Não","19°19'46,67""S","40°4'12,34""W","","","100% para Leão Alimentos e Bebidas Ltda (REG)","","Linhares - ES"
"Leda Rodrigues Busse","UFVRSSP046085-0","SP","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","01/11/2019","10.05","10.05","0","Não","22° 51' 15,000"" S","48° 55' 30,000"" W","","","100% para Leda Rodrigues Busse (REG)","","Igaraçu do Tietê - SP"
"Ledivaldo Pinto Coelho","UFVRSPA045771-0","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","19/09/2019","1.00","1","0","N/I","3° 55' 31,433"" S","49° 49' 42,971"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Leidiane Americo Alves","UFVRSPA045800-7","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","20/09/2019","1.00","1","0","N/I","3° 57' 59,300"" S","49° 49' 19,240"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Leidiane da Silva","UFVRSPA046405-8","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","04/11/2019","1.00","1","0","N/I","3° 50' 19,216"" S","49° 46' 32,851"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Leilane Almeida Gusmao","UFVRSPA045874-0","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","01/09/2019","1.00","1","0","N/I","3° 17' 17,102"" S","49° 48' 59,843"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Leilson Lobo de Souza","UFVRSPA045481-8","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","23/08/2009","1.00","1","0","N/I","3° 44' 33,612"" S","49° 50' 52,058"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Lelio Quintas Vieira","UFVRSPA039561-7","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","02/03/2018","1.00","1","0","N/I","2° 0' 51,696"" S","52° 15' 48,924"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Lençóis","PCHPHSP001322-6","SP","PCH","Operação","Hídrica","Potencial hidráulico","Concessão","Potencial hidráulico","","1,680.00","1680","1040","Não","-1","-1","30-09-2011","20-11-2027","100% para Chimay Empreendimentos e Participações Ltda (PIE)","","Macatuba - SP"
"Lenilda Clementino de Medeiros Aires","UFVRSPA045207-6","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","07/08/2019","1.00","1","0","N/I","3° 50' 4,049"" S","49° 42' 58,727"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Lenilda Pontes Brilhante","UFVRSPA045737-0","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","30/09/2019","1.00","1","0","N/I","3° 53' 41,507"" S","49° 44' 46,666"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Lenilson Caldeira Vilela","UFVRSPA039119-0","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","12/12/2017","1.00","1","0","N/I","1°36'6,804""S","52°39'45,612""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Leonardo Rodrigues do Carmo","UFVRSPA046660-3","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","21/11/2019","1.00","1","0","N/I","3° 53' 8,902"" S","49° 44' 27,463"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Leonidas Francisco de Paula","UFVRSPA046137-7","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","17/10/2019","1.00","1","0","N/I","4° 2' 1,774"" S","49° 42' 26,356"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Leonidas Goncalves Aragao","UFVRSPA040716-0","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","29/01/2018","1.00","1","0","N/I","1° 52' 57,144"" S","52° 29' 41,280"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Leroy Merlin","UTEPEDF031526-5","DF","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","02/01/2012","368.00","368","0","Não","15°47'38,713""S","47°53'16,458""W","","","100% para Leroy Merlin Companhia de Bricolagem (REG)","","Brasília - DF"
"Leticia Marilia de Souza Araujo","UFVRSPA043127-3","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","13/10/2018","1.00","1","0","N/I","2° 4' 19,344"" S","53° 27' 46,404"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Prainha - PA"
"Leuda Pires Brandao Silva","UFVRSPA045962-3","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","04/09/2019","1.00","1","0","N/I","3° 48' 57,323"" S","49° 46' 24,204"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Leudiene Duarte Souto","UFVRSPA039007-0","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","01/12/2017","1.00","1","0","N/I","1°45'33,084""S","52°24'38,88""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"LIBERDADE","CGHPHSC038207-8","SC","CGH","Operação","Hídrica","Potencial hidráulico","Registro","Potencial hidráulico","15/08/2017","1,041.30","1041.3","0","Não","-1","-1","","","100% para LIBERDADE GERACAO DE ENERGIA LTDA. (REG)","","Benedito Novo - SC"
"Licínio de Almeida","EOLCVBA030317-8","BA","EOL","Operação","Eólica","Cinética do vento","Autorização","Cinética do vento","04/07/2014","24,000.00","24000","10940","Não","14° 10' 36.998"" S","42° 39' 14.626"" W","06-08-2010","06-08-2045","100% para Centrais Eólicas Licínio de Almeida LTDA. (PIE)","","Guanambi - BA"
"Liderpetro","UTEPEMG031027-1","MG","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","04/02/2013","60.00","60","0","Não","19° 1' 39,972"" S","48° 19' 54,264"" W","","","100% para Liderpetro Distribuidora de Petróleo Ltda. (REG)","","Uberlândia - MG"
"Lidia Analia Pongartem Gama","UFVRSPA038768-1","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","16/11/2017","1.00","1","0","N/I","1°59'38,724""S","53°9'0,684""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Lielma Martins Leao","UFVRSPA038635-9","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","04/11/2017","1.00","1","0","N/I","2°4'11,712""S","53°11'19,788""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Lilia Gomes Costa","UFVRSPA043053-6","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","13/10/2018","1.00","1","0","N/I","2° 3' 22,428"" S","53° 22' 59,556"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Prainha - PA"
"Liliane Batista Teles","UFVRSPA039090-9","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","07/12/2017","1.00","1","0","N/I","1°34'56,568""S","52°23'14,82""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Liliane Ramos Batista","UFVRSPA039313-4","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","09/01/2018","1.00","1","0","N/I","1°49'59,34""S","52°56'0,888""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Limeira","CGHPHMG030866-8","MG","CGH","Operação","Hídrica","Potencial hidráulico","Registro","Potencial hidráulico","28/05/2012","1,260.00","1260","0","Não","-1","-1","","","100% para Limeira Energia S.A. (REG)","","Rosário da Limeira - MG"
"Limeira do Oeste","UTEAIMG029232-0","MG","UTE","Operação","Biomassa","Agroindustriais","Registro","Bagaço de Cana de Açúcar","01/11/2004","5,000.00","5000","0","Não","19° 31' 35,112"" S","50° 39' 29,988"" W","","","100% para S.A Usina Coruripe Açúcar e Álcool (REG)","","Limeira do Oeste - MG"
"Limoeiro","UTEPEAM001329-3","AM","UTE","Operação","Fóssil","Petróleo","Autorização","Óleo Diesel","01/08/1998","1,425.00","1930","0","Não","1°52'48,355""S","66°59'50,148""W","24-05-1995","24-05-2025","100% para AMAZONAS ENERGIA S.A (SP)","","Japurá - AM"
"Limoeiro","CGHPHMG029235-4","MG","CGH","Operação","Hídrica","Potencial hidráulico","Registro","Potencial hidráulico","10/06/1930","256.00","256","210","Não","-1","-1","","","100% para Eduardo Raymundo de Oliveira &amp Cia Ltda (REG)","","Canaã - MG, São Miguel do Anta - MG"
"Limoeiro","CGHPHMG030983-4","MG","CGH","Operação","Hídrica","Potencial hidráulico","Registro","Potencial hidráulico","05/09/2015","1,250.00","1250","960","Não","-1","-1","","","100% para LIMOEIRO ENERGIA S. A. (REG)","","Bueno Brandão - MG"
"Limoeiro - CGA","UTEPEAM035814-2","AM","UTE","Construção","Fóssil","Petróleo","Autorização","Óleo Diesel","-","2,464.00","0","0","Não","1° 52' 40,000"" S","66° 59' 38,000"" W","19-08-2016","19-08-2051","100% para AGGREKO ENERGIA LOCAÇÃO DE GERADORES LTDA. (PIE)","","Japurá - AM"
"Limoeiro (Armando Salles de Oliveira)","UHEPHSP001328-5","SP","UHE","Operação","Hídrica","Potencial hidráulico","Concessão","Potencial hidráulico","17/12/1958","32,000.00","32000","14800","Não","-1","-1","20-12-1999","20-12-2029","100% para AES TIETÊ ENERGIA S.A (PIE)","","São José do Rio Pardo - SP"
"Lindalva Barreto Oliveira","UFVRSPA046279-9","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","24/10/2019","1.00","1","0","N/I","3° 55' 28,434"" S","49° 44' 20,767"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Lindalva Consolacao Paiva Matos","UFVRSPA040418-7","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","20/03/2018","1.00","1","0","N/I","2°59'46,968""S","52°17'8,088""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Lindalva da Conceicao","UFVRSPA045504-0","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","04/09/2019","1.00","1","0","N/I","4° 0' 52,549"" S","49° 54' 55,750"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Lindalva Liborio Ferro","UFVRSPA040296-6","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","14/03/2018","1.00","1","0","N/I","2°4'54,336""S","52°28'59,988""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
